time,humidity
2024-04-28 22:28:00,11.95
2024-04-28 22:28:01,-11.13
2024-04-28 22:28:02,-2.27
2024-04-28 22:28:03,0.27
2024-04-28 22:28:04,-12.39
2024-04-28 22:28:05,-3.89
2024-04-28 22:28:06,39.37
2024-04-28 22:28:07,5.37
2024-04-28 22:28:08,-9.79
2024-04-28 22:28:09,24.30
2024-04-28 22:28:10,9.60
2024-04-28 22:28:11,9.14
2024-04-28 22:28:12,-5.93
2024-04-28 22:28:13,24.91
2024-04-28 22:28:14,4.34
2024-04-28 22:28:15,39.21
2024-04-28 22:28:16,28.46
2024-04-28 22:28:17,39.25
2024-04-28 22:28:18,-3.96
2024-04-28 22:28:19,37.09
2024-04-28 22:28:20,16.88
2024-04-28 22:28:21,30.40
2024-04-28 22:28:22,31.15
2024-04-28 22:28:23,-5.49
2024-04-28 22:28:24,11.55
2024-04-28 22:28:25,33.04
2024-04-28 22:28:26,15.43
2024-04-28 22:28:27,12.02
2024-04-28 22:28:28,11.81
2024-04-28 22:28:29,13.33
2024-04-28 22:28:30,7.79
2024-04-28 22:28:31,19.15
2024-04-28 22:28:32,17.57
2024-04-28 22:28:33,27.78
2024-04-28 22:28:34,38.47
2024-04-28 22:28:35,-6.80
2024-04-28 22:28:36,-16.76
2024-04-28 22:28:37,17.52
2024-04-28 22:28:38,-9.70
2024-04-28 22:28:40,2.69
2024-04-28 22:28:41,14.70
2024-04-28 22:28:42,8.35
2024-04-28 22:28:43,18.61
2024-04-28 22:28:44,13.34
2024-04-28 22:28:45,-12.71
2024-04-28 22:28:46,21.68
2024-04-28 22:28:47,-12.29
2024-04-28 22:28:48,3.48
2024-04-28 22:28:49,16.65
2024-04-28 22:28:50,-17.63
2024-04-28 22:28:51,-12.34
2024-04-28 22:28:52,3.16
2024-04-28 22:28:53,27.76
2024-04-28 22:28:54,28.01
2024-04-28 22:28:55,18.79
2024-04-28 22:28:56,18.72
2024-04-28 22:28:57,-4.56
2024-04-28 22:28:58,-4.05
2024-04-28 22:28:59,24.00
2024-04-28 22:29:00,-13.37
2024-04-28 22:29:01,1.04
2024-04-28 22:29:02,-14.09
2024-04-28 22:29:03,-4.39
2024-04-28 22:29:04,16.53
2024-04-28 22:29:05,35.79
2024-04-28 22:29:06,25.75
2024-04-28 22:29:07,-8.70
2024-04-28 22:29:08,-17.11
2024-04-28 22:29:09,25.56
2024-04-28 22:29:10,-12.00
2024-04-28 22:29:11,22.20
2024-04-28 22:29:12,18.96
2024-04-28 22:29:13,-0.25
2024-04-28 22:29:14,30.65
2024-04-28 22:29:15,-3.29
2024-04-28 22:29:16,36.31
2024-04-28 22:29:17,33.50
2024-04-28 22:29:18,34.29
2024-04-28 22:29:19,-14.10
2024-04-28 22:29:20,20.04
2024-04-28 22:29:21,-16.77
2024-04-28 22:29:22,17.08
2024-04-28 22:29:23,17.66
2024-04-28 22:29:24,17.57
2024-04-28 22:29:25,6.03
2024-04-28 22:29:26,12.54
2024-04-28 22:29:27,-1.91
2024-04-28 22:29:28,12.88
2024-04-28 22:29:29,0.89
2024-04-28 22:29:30,-14.03
2024-04-28 22:29:31,19.47
2024-04-28 22:29:32,14.42
2024-04-28 22:29:33,-8.30
2024-04-28 22:29:34,9.58
2024-04-28 22:29:35,-12.82
2024-04-28 22:29:36,0.30
2024-04-28 22:29:37,19.08
2024-04-28 22:29:38,18.22
2024-04-28 22:29:39,18.67
2024-04-28 22:29:40,2.06
2024-04-28 22:29:41,-19.70
2024-04-28 22:29:42,-13.20
2024-04-28 22:29:43,38.33
2024-04-28 22:29:44,-16.81
2024-04-28 22:29:45,9.76
2024-04-28 22:29:46,4.73
2024-04-28 22:29:47,21.43
2024-04-28 22:29:48,5.92
2024-04-28 22:29:49,-16.65
2024-04-28 22:29:50,3.97
2024-04-28 22:29:51,38.83
2024-04-28 22:29:52,28.73
2024-04-28 22:29:53,33.27
2024-04-28 22:29:54,25.71
2024-04-28 22:29:55,16.99
2024-04-28 22:29:56,-16.96
2024-04-28 22:29:57,3.11
2024-04-28 22:29:58,-5.15
2024-04-28 22:29:59,15.91
2024-04-28 22:30:00,32.72
2024-04-28 22:30:01,6.90
2024-04-28 22:30:02,-12.67
2024-04-28 22:30:03,-7.75
2024-04-28 22:30:04,-3.05
2024-04-28 22:30:05,21.76
2024-04-28 22:30:06,26.48
2024-04-28 22:30:07,11.02
2024-04-28 22:30:08,5.50
2024-04-28 22:30:09,-9.63
2024-04-28 22:30:10,-13.69
time,humidity
2024-04-28 22:30:32,21.96
2024-04-28 22:30:33,-9.54
2024-04-28 22:30:34,-11.09
2024-04-28 22:30:35,32.30
2024-04-28 22:30:36,-0.65
2024-04-28 22:30:37,1.48
2024-04-28 22:30:38,-2.26
2024-04-28 22:30:39,-10.04
2024-04-28 22:30:40,18.42
2024-04-28 22:30:41,35.12
2024-04-28 22:30:42,-12.57
2024-04-28 22:30:43,-14.93
2024-04-28 22:30:44,1.77
2024-04-28 22:30:45,28.52
2024-04-28 22:30:46,-14.72
2024-04-28 22:30:47,11.20
2024-04-28 22:30:48,2.47
2024-04-28 22:30:49,35.39
2024-04-28 22:30:50,-5.42
2024-04-28 22:30:51,-10.86
2024-04-28 22:30:52,27.19
2024-04-28 22:30:53,-0.02
2024-04-28 22:30:54,-16.02
2024-04-28 22:30:55,16.25
2024-04-28 22:30:56,2.84
2024-04-28 22:30:57,-3.33
2024-04-28 22:30:58,-11.03
2024-04-28 22:30:59,15.74
2024-04-28 22:31:00,-7.01
2024-04-28 22:31:01,21.30
2024-04-28 22:31:02,2.35
2024-04-28 22:31:03,4.78
2024-04-28 22:31:04,30.20
2024-04-28 22:31:05,-11.57
2024-04-28 22:31:06,-6.58
2024-04-28 22:31:07,-0.12
2024-04-28 22:31:08,0.53
2024-04-28 22:31:09,6.30
2024-04-28 22:31:10,34.15
2024-04-28 22:31:11,17.11
2024-04-28 22:31:12,37.94
2024-04-28 22:31:13,-3.03
2024-04-28 22:31:14,7.02
2024-04-28 22:31:15,28.95
2024-04-28 22:31:16,19.66
2024-04-28 22:31:17,30.75
2024-04-28 22:31:18,2.74
2024-04-28 22:31:19,-14.77
2024-04-28 22:31:20,-18.02
2024-04-28 22:31:21,19.55
2024-04-28 22:31:22,31.88
