time,temp
2024-04-28 22:27:55,24.41°C
2024-04-28 22:27:56,-4.03°C
2024-04-28 22:27:57,23.94°C
2024-04-28 22:27:58,0.66°C
2024-04-28 22:27:59,28.89°C
2024-04-28 22:28:00,-0.51°C
2024-04-28 22:28:01,0.93°C
2024-04-28 22:28:02,32.42°C
2024-04-28 22:28:03,20.88°C
2024-04-28 22:28:04,38.56°C
2024-04-28 22:28:05,18.90°C
2024-04-28 22:28:06,15.84°C
2024-04-28 22:28:07,4.83°C
2024-04-28 22:28:08,32.62°C
2024-04-28 22:28:09,36.42°C
2024-04-28 22:28:10,-14.20°C
2024-04-28 22:28:11,38.77°C
2024-04-28 22:28:12,13.22°C
2024-04-28 22:28:13,6.84°C
2024-04-28 22:28:14,-6.30°C
2024-04-28 22:28:15,26.24°C
2024-04-28 22:28:17,-19.03°C
2024-04-28 22:28:18,10.84°C
2024-04-28 22:28:19,31.46°C
2024-04-28 22:28:20,4.85°C
2024-04-28 22:28:21,30.96°C
2024-04-28 22:28:22,7.82°C
2024-04-28 22:28:23,13.31°C
2024-04-28 22:28:24,-4.10°C
2024-04-28 22:28:25,22.03°C
2024-04-28 22:28:26,11.95°C
2024-04-28 22:28:27,14.57°C
2024-04-28 22:28:28,17.26°C
2024-04-28 22:28:29,3.75°C
2024-04-28 22:28:30,6.37°C
2024-04-28 22:28:31,31.43°C
2024-04-28 22:28:32,-19.70°C
2024-04-28 22:28:33,17.33°C
2024-04-28 22:28:34,12.40°C
2024-04-28 22:28:35,-1.41°C
2024-04-28 22:28:36,7.73°C
2024-04-28 22:28:37,-18.25°C
2024-04-28 22:28:38,16.05°C
2024-04-28 22:28:39,0.52°C
2024-04-28 22:28:40,-14.27°C
2024-04-28 22:28:41,37.49°C
2024-04-28 22:28:42,16.01°C
2024-04-28 22:28:43,27.68°C
2024-04-28 22:28:44,-18.23°C
2024-04-28 22:28:45,-4.21°C
2024-04-28 22:28:46,7.59°C
2024-04-28 22:28:47,18.49°C
2024-04-28 22:28:48,1.32°C
2024-04-28 22:28:49,-19.27°C
2024-04-28 22:28:50,-7.17°C
2024-04-28 22:28:51,-14.30°C
2024-04-28 22:28:52,0.96°C
2024-04-28 22:28:53,-18.54°C
2024-04-28 22:28:54,-5.91°C
2024-04-28 22:28:55,39.22°C
2024-04-28 22:28:56,13.13°C
2024-04-28 22:28:57,39.08°C
2024-04-28 22:28:58,39.41°C
2024-04-28 22:28:59,-11.51°C
2024-04-28 22:29:00,31.41°C
2024-04-28 22:29:01,18.27°C
2024-04-28 22:29:02,11.84°C
2024-04-28 22:29:03,0.29°C
2024-04-28 22:29:04,0.39°C
2024-04-28 22:29:05,6.40°C
2024-04-28 22:29:06,32.42°C
2024-04-28 22:29:07,15.71°C
2024-04-28 22:29:08,17.94°C
2024-04-28 22:29:09,8.50°C
2024-04-28 22:29:10,39.92°C
2024-04-28 22:29:11,-7.28°C
2024-04-28 22:29:12,9.31°C
2024-04-28 22:29:13,1.22°C
2024-04-28 22:29:14,38.69°C
2024-04-28 22:29:15,34.49°C
2024-04-28 22:29:16,2.78°C
2024-04-28 22:29:17,19.74°C
2024-04-28 22:29:18,19.14°C
2024-04-28 22:29:19,-18.94°C
2024-04-28 22:29:20,-1.09°C
2024-04-28 22:29:21,1.92°C
2024-04-28 22:29:22,14.40°C
2024-04-28 22:29:23,-14.94°C
2024-04-28 22:29:24,17.22°C
2024-04-28 22:29:25,21.68°C
2024-04-28 22:29:26,2.08°C
2024-04-28 22:29:27,11.66°C
2024-04-28 22:29:28,-3.79°C
2024-04-28 22:29:29,2.88°C
2024-04-28 22:29:30,-0.79°C
2024-04-28 22:29:31,39.42°C
2024-04-28 22:29:32,-8.81°C
2024-04-28 22:29:33,-8.02°C
2024-04-28 22:29:34,28.03°C
2024-04-28 22:29:35,18.62°C
2024-04-28 22:29:36,-15.96°C
2024-04-28 22:29:37,15.82°C
2024-04-28 22:29:38,-18.00°C
2024-04-28 22:29:39,20.32°C
2024-04-28 22:29:40,-7.06°C
2024-04-28 22:29:41,-3.12°C
2024-04-28 22:29:42,12.17°C
2024-04-28 22:29:43,-8.12°C
2024-04-28 22:29:44,-2.34°C
2024-04-28 22:29:45,37.43°C
2024-04-28 22:29:46,1.83°C
2024-04-28 22:29:48,-17.62°C
2024-04-28 22:29:49,34.81°C
2024-04-28 22:29:50,18.43°C
2024-04-28 22:29:51,23.57°C
2024-04-28 22:29:52,24.00°C
2024-04-28 22:29:53,-8.51°C
2024-04-28 22:29:54,-0.59°C
2024-04-28 22:29:55,33.94°C
2024-04-28 22:29:56,13.97°C
2024-04-28 22:29:57,-19.06°C
2024-04-28 22:29:58,39.28°C
2024-04-28 22:29:59,-2.02°C
2024-04-28 22:30:00,38.84°C
2024-04-28 22:30:01,-6.99°C
2024-04-28 22:30:02,11.39°C
2024-04-28 22:30:03,36.97°C
2024-04-28 22:30:04,-13.15°C
2024-04-28 22:30:05,-19.53°C
2024-04-28 22:30:06,-15.21°C
2024-04-28 22:30:07,-3.35°C
2024-04-28 22:30:08,37.32°C
2024-04-28 22:30:09,17.33°C
2024-04-28 22:30:10,0.91°C
2024-04-28 22:30:11,34.20°C
